n    x(n)   c(n)  xhat(n) 
0    2.0       0.0       0.0 
1    5.0       0.0       8.0 
2    7.0       0.0      14.4 
3   10.0       0.0       3.5 
4   12.0       0.0      10.8 
5   10.0       0.0      16.7 
6   10.0       0.0       5.3 
7    9.0       0.0      12.3 
8    9.0       0.0       1.8 
9    8.0       0.0       9.4 
10    5.0       0.0      -0.4 
11    7.0       0.0       7.6 
12    6.0       0.0      -1.9 
13    7.0       0.0       6.5 
14    6.0       0.0      13.2 
15    5.0       0.0       2.6 
16    5.0       0.0      10.0 
17    4.0       0.0       0.0 
18    5.0       0.0       8.0 
19    4.0       0.0      -1.6 
20    5.0       0.0       6.7 
21    2.0       0.0      -2.6 
22    2.0       0.0       5.9 
23    5.0       0.0      12.7 
24    5.0       0.0       2.2 
25    6.0       0.0       9.7 
26    8.0       0.0      15.8 
27    7.0       0.0       4.6 
28    6.0       0.0      11.7 
29    5.0       0.0       1.4 
30    5.0       0.0       9.1 
31    7.0       0.0      -0.7 
32    6.0       0.0       7.4 
33    5.0       0.0      -2.1 
34    4.0       0.0       6.3 
35    4.0       0.0      -2.9 
36    3.0       0.0       5.7 
37    4.0       0.0      -3.5 
38    5.0       0.0       5.2 
39    6.0       0.0      12.2 
40    6.0       0.0       1.7 
41    6.0       0.0       9.4 
42    7.0       0.0      -0.5 
43    8.0       0.0       7.6 
44    7.0       0.0      14.1 
45    7.0       0.0       3.3 
46    4.0       0.0      10.6 
47    4.0       0.0       0.5 
48    3.0       0.0       8.4 
49    0.0       0.0      -1.3 
50   -1.0       0.0       7.0 
51   -2.0       0.0      -2.4 
52   -1.0       0.0       6.1 
53    1.0       0.0      -3.1 
54   -1.0       0.0       5.5 
55   -1.0       0.0      -3.6 
56   -1.0       0.0       5.1 
57   -1.0       0.0      -3.9 
58    2.0       0.0       4.9 
59    2.0       0.0      -4.1 
60    1.0       0.0       4.7 
61    0.0       0.0      -4.2 
62   -2.0       0.0       4.6 
63   -5.0       0.0      -4.3 
64   -2.0       0.0       4.6 
65   -5.0       0.0      -4.4 
66   -5.0       0.0     -11.5 
67   -8.0       0.0      -1.2 
68   -9.0       0.0      -9.0 
69   -6.0       0.0       0.8 
70   -7.0       0.0      -7.3 
71   -7.0       0.0     -13.9 
72   -7.0       0.0      -3.1 
73   -6.0       0.0     -10.5 
74   -6.0       0.0      -0.4 
75   -2.0       0.0      -8.3 
76   -1.0       0.0       1.4 
77    2.0       0.0       9.1 
78    2.0       0.0      -0.7 
79    2.0       0.0       7.4 
80    2.0       0.0      -2.1 
81    2.0       0.0       6.3 
82    1.0       0.0      -2.9 
83    1.0       0.0       5.7 
84    0.0       0.0      -3.5 
85   -3.0       0.0     -10.8 
86   -2.0       0.0      -0.6 
87   -5.0       0.0      -8.5 
88   -1.0       0.0       1.2 
89   -6.0       0.0      -7.0 
90   -2.0       0.0       2.4 
91   -2.0       0.0      -6.1 
92    2.0       0.0       3.1 
93    2.0       0.0      -5.5 
94    1.0       0.0       3.6 
95    1.0       0.0      -5.1 
96    1.0       0.0       3.9 
97    0.0       0.0      -4.9 
98   -3.0       0.0       4.1 
99   -5.0       0.0      -4.7 
100   -6.0       0.0     -11.8 
101   -8.0       0.0      -1.4 
102  -10.0       0.0      -9.1 
103   -7.0       0.0       0.7 
104   -5.0       0.0      -7.4 
105   -5.0       0.0       2.0 
106   -2.0       0.0      -6.4 
107   -1.0       0.0       2.9 
108    4.0       0.0      10.3 
109    4.0       0.0       0.3 
110    4.0       0.0       8.2 
111    5.0       0.0      -1.4 
112    4.0       0.0       6.9 
113    3.0       0.0      -2.5 
114    1.0       0.0       6.0 
115    1.0       0.0      -3.2 
116   -1.0       0.0       5.4 
117   -1.0       0.0      -3.7 
118   -6.0       0.0     -10.9 
119   -5.0       0.0      -0.7 
120  -11.0       0.0      -8.6 
121   -9.0       0.0     -14.9 
122  -11.0       0.0      -3.9 
123   -9.0       0.0     -11.1 
124  -11.0       0.0     -16.9 
125  -12.0       0.0      -5.5 
126   -9.0       0.0     -12.4 
127   -6.0       0.0      -1.9 
128   -6.0       0.0      -9.5 
129   -6.0       0.0       0.4 
130   -6.0       0.0      -7.7 
131   -6.0       0.0       1.8 
132   -7.0       0.0      -6.5 
133   -7.0       0.0     -13.2 
134   -9.0       0.0      -2.6 
135   -8.0       0.0     -10.1 
136   -8.0       0.0      -0.1 
137   -8.0       0.0      -8.0 
138   -8.0       0.0     -14.4 
139   -8.0       0.0      -3.5 
140   -8.0       0.0     -10.8 
141   -7.0       0.0      -0.7 
142   -5.0       0.0      -8.5 
143   -7.0       0.0     -14.8 
144   -8.0       0.0      -3.9 
145   -6.0       0.0     -11.1 
146   -7.0       0.0      -0.9 
147   -7.0       0.0      -8.7 
148   -7.0       0.0     -15.0 
149   -7.0       0.0      -4.0 
150   -8.0       0.0     -11.2 
151  -10.0       0.0     -16.9 
152   -9.0       0.0      -5.6 
153   -9.0       0.0     -12.4 
154   -8.0       0.0      -2.0 
155   -8.0       0.0      -9.6 
156   -2.0       0.0       0.4 
157   -1.0       0.0      -7.7 
158    1.0       0.0       1.8 
159    3.0       0.0       9.5 
160    5.0       0.0      -0.4 
161    3.0       0.0       7.7 
162    2.0       0.0      -1.9 
163    2.0       0.0       6.5 
164    1.0       0.0      -2.8 
165    0.0       0.0       5.8 
166   -2.0       0.0      -3.4 
167   -5.0       0.0     -10.7 
168   -2.0       0.0      -0.6 
169   -5.0       0.0      -8.5 
170   -2.0       0.0       1.2 
171   -5.0       0.0      -7.0 
172   -2.0       0.0       2.4 
173   -5.0       0.0      -6.1 
174    1.0       0.0       3.1 
175   -2.0       0.0      -5.5 
176    0.0       0.0       3.6 
177    1.0       0.0      -5.1 
178    1.0       0.0       3.9 
179    1.0       0.0      -4.9 
180    3.0       0.0       4.1 
181    2.0       0.0      -4.7 
182    0.0       0.0       4.2 
183    2.0       0.0      -4.6 
184   -1.0       0.0       4.3 
185   -1.0       0.0      -4.6 
186   -5.0       0.0     -11.6 
187   -3.0       0.0      -1.3 
188   -5.0       0.0      -9.1 
189    0.0       0.0       0.8 
190   -5.0       0.0      -7.4 
191    0.0       0.0       2.1 
192   -1.0       0.0      -6.3 
193   -1.0       0.0       2.9 
194   -1.0       0.0      -5.7 
195   -1.0       0.0       3.5 
196   -1.0       0.0      -5.2 
197   -2.0       0.0       3.8 
198   -2.0       0.0      -4.9 
199   -2.0       0.0       4.0 
200   -3.0       0.0      -4.8 
201   -6.0       0.0     -11.8 
202   -6.0       0.0      -1.4 
203   -8.0       0.0      -9.2 
204   -8.0       0.0     -15.3 
205   -8.0       0.0      -4.3 
206   -8.0       0.0     -11.4 
207   -8.0       0.0      -1.1 
208   -6.0       0.0      -8.9 
209   -5.0       0.0       0.9 
210   -2.0       0.0      -7.3 
211   -1.0       0.0       2.2 
212    2.0       0.0       9.7 
213    2.0       0.0      -0.2 
214    3.0       0.0       7.8 
215    3.0       0.0      -1.7 
216    4.0       0.0       6.6 
217    3.0       0.0      -2.7 
218    4.0       0.0       5.8 
219    4.0       0.0      -3.3 
220    2.0       0.0       5.3 
221    3.0       0.0      -3.7 
222    3.0       0.0       5.0 
223    3.0       0.0      -4.0 
224    3.0       0.0       4.8 
225    3.0       0.0      -4.2 
226    1.0       0.0       4.7 
227    0.0       0.0      -4.3 
228    0.0       0.0       4.6 
229    0.0       0.0      -4.3 
230    0.0       0.0       4.5 
231    2.0       0.0      -4.4 
232    2.0       0.0       4.5 
233    3.0       0.0      -4.4 
